order_date,Accessories
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-09,31.2
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,646.74
2015-01-14,0.0
2015-01-15,149.95
2015-01-16,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,468.9
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,0.0
2015-02-07,115.36
2015-02-08,0.0
2015-02-11,234.45
2015-02-12,0.0
2015-02-14,239.97
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,62.31
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,479.97
2015-03-07,0.0
2015-03-10,0.0
2015-03-11,32.96
2015-03-14,82.8
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,170.24
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,45.48
2015-03-26,66.3
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,79.984
2015-04-01,0.0
2015-04-02,0.0
2015-04-04,99.98
2015-04-05,0.0
2015-04-06,450.654
2015-04-07,0.0
2015-04-08,399.96
2015-04-12,0.0
2015-04-13,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,227.976
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-28,159.98
2015-04-29,0.0
2015-04-30,47.79
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,235.76999999999998
2015-05-10,0.0
2015-05-11,104.976
2015-05-12,0.0
2015-05-13,149.97
2015-05-14,0.0
2015-05-16,56.4
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,20.784
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,99.99
2015-05-28,27.6
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,63.984
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-20,0.0
2015-06-21,95.968
2015-06-22,196.752
2015-06-23,86.376
2015-06-24,0.0
2015-06-25,0.0
2015-06-27,223.96
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-04,0.0
2015-07-05,479.97
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-11,0.0
2015-07-12,23.84
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,2.97
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,41.94
2015-07-21,0.0
2015-07-22,159.98
2015-07-25,0.0
2015-07-26,714.0360000000001
2015-07-27,238.0
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,0.0
2015-08-02,21.2
2015-08-03,0.0
2015-08-04,255.42
2015-08-05,16.36
2015-08-06,262.89
2015-08-08,95.976
2015-08-09,0.0
2015-08-11,0.0
2015-08-12,158.928
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,339.96
2015-08-19,0.0
2015-08-20,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,95.1
2015-08-26,326.77
2015-08-27,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,92.52
2015-09-01,357.0
2015-09-02,715.9200000000001
2015-09-03,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,46.688
2015-09-08,166.82999999999998
2015-09-09,64.704
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,72.616
2015-09-13,714.94
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,103.904
2015-09-19,0.0
2015-09-20,59.98
