order_date,Binders
2015-01-03,0.0
2015-01-04,3.54
2015-01-05,0.0
2015-01-06,609.98
2015-01-07,10.43
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,9.078
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,18.588
2015-01-18,0.0
2015-01-19,32.34
2015-01-20,115.944
2015-01-23,0.0
2015-01-26,10.68
2015-01-27,0.0
2015-01-28,3.928
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,18.336
2015-02-03,97.11200000000001
2015-02-04,100.144
2015-02-06,8.952
2015-02-07,0.0
2015-02-08,0.0
2015-02-11,79.0
2015-02-12,0.0
2015-02-14,0.0
2015-02-15,21.36
2015-02-16,1.08
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,0.0
2015-02-21,8.85
2015-02-22,0.0
2015-02-23,4.428
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,151.08
2015-03-04,0.0
2015-03-05,49.632
2015-03-07,107.648
2015-03-10,0.0
2015-03-11,0.0
2015-03-14,95.136
2015-03-15,50.406000000000006
2015-03-16,0.0
2015-03-17,131.15
2015-03-18,0.0
2015-03-19,33.57
2015-03-21,122.94
2015-03-22,59.109
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,27.936
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,697.068
2015-04-01,23.328000000000003
2015-04-02,0.0
2015-04-04,7.184
2015-04-05,40.2
2015-04-06,110.478
2015-04-07,0.0
2015-04-08,0.0
2015-04-11,9.584
2015-04-12,18.088
2015-04-13,509.97
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,58.05
2015-04-20,0.0
2015-04-21,16.52
2015-04-22,9.912
2015-04-23,9.99
2015-04-25,0.0
2015-04-26,18.288
2015-04-28,20.86
2015-04-29,17.94
2015-04-30,0.0
2015-05-02,0.0
2015-05-03,51.072
2015-05-04,46.8
2015-05-05,11.88
2015-05-06,140.736
2015-05-07,16.14
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,104.58
2015-05-12,0.0
2015-05-13,398.352
2015-05-14,0.0
2015-05-16,0.0
2015-05-17,91.68
2015-05-18,0.0
2015-05-19,57.42
2015-05-20,0.0
2015-05-22,0.0
2015-05-23,21.242
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,17.46
2015-05-28,136.96
2015-05-30,95.952
2015-05-31,0.0
2015-06-01,184.04
2015-06-02,59.808
2015-06-03,0.0
2015-06-04,0.0
2015-06-06,175.497
2015-06-07,12.462
2015-06-08,68.48
2015-06-09,18.504
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,8.568
2015-06-16,39.552
2015-06-18,0.0
2015-06-20,3.392
2015-06-21,45.258
2015-06-22,8.226
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-27,0.0
2015-06-28,34.254
2015-06-29,13.92
2015-06-30,337.45599999999996
2015-07-01,25.104000000000003
2015-07-02,0.0
2015-07-04,15.6
2015-07-05,190.77
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,196.704
2015-07-09,56.208000000000006
2015-07-11,18.28
2015-07-12,18.976
2015-07-13,0.0
2015-07-14,29.932
2015-07-15,0.0
2015-07-18,13.904
2015-07-19,30.786
2015-07-20,125.77600000000001
2015-07-21,1.044
2015-07-22,0.0
2015-07-23,8.16
2015-07-25,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,19.752
2015-08-02,26.7
2015-08-03,0.0
2015-08-04,13.184
2015-08-05,0.0
2015-08-06,0.0
2015-08-08,0.0
2015-08-11,0.0
2015-08-12,196.21
2015-08-15,93.9
2015-08-16,0.0
2015-08-17,17.96
2015-08-19,146.232
2015-08-20,896.99
2015-08-22,0.0
2015-08-23,49.568
2015-08-24,20.96
2015-08-25,68.31
2015-08-26,0.0
2015-08-27,22.72
2015-08-29,505.176
2015-08-30,25.3
2015-08-31,0.0
2015-09-01,27.392
2015-09-03,7.68
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,470.528
2015-09-08,59.792
2015-09-09,0.0
2015-09-10,9.64
2015-09-11,0.0
2015-09-12,401.06399999999996
2015-09-13,21.15
2015-09-14,15.712
2015-09-15,0.0
2015-09-16,33.552
2015-09-17,143.132
2015-09-19,0.0
2015-09-20,20.232
2015-09-21,6.57
2015-09-22,3.984
2015-09-24,0.0
2015-09-25,2.724
2015-09-26,6.846
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,10.048
2015-09-30,43.176
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,1.788
2015-10-04,95.648
2015-10-05,0.0
2015-10-06,15.36
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,31.142
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,41.872
2015-10-14,25.866000000000003
2015-10-15,0.0
2015-10-16,14.352
2015-10-17,10.78
2015-10-18,1.344
2015-10-19,23.056
2015-10-20,8.682
2015-10-21,36.36
2015-10-22,0.0
2015-10-24,34.272
2015-10-25,63.106
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,7.184
2015-10-29,0.0
2015-10-31,69.344
2015-11-01,0.0
2015-11-02,19.242
2015-11-03,76.813
2015-11-04,74.0
2015-11-05,13.194
2015-11-07,163.05599999999998
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-12,0.0
2015-11-14,68.03999999999999
2015-11-15,0.0
2015-11-16,29.12
2015-11-18,82.121
2015-11-19,213.08
2015-11-20,12.96
2015-11-21,0.0
2015-11-22,336.808
2015-11-23,14.67
2015-11-24,12.096
2015-11-25,0.0
2015-11-26,41.632
2015-11-27,0.0
2015-11-28,62.908
2015-11-29,0.0
2015-11-30,6.642
2015-12-01,0.0
2015-12-02,46.72
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,29.94
2015-12-06,4.6
2015-12-07,0.0
2015-12-08,6.456
2015-12-09,0.0
2015-12-10,106.344
2015-12-12,210.392
2015-12-13,17.604
2015-12-14,14.367999999999999
2015-12-15,0.0
2015-12-16,1.167
2015-12-17,5.484
2015-12-19,157.572
2015-12-21,18.24
2015-12-22,314.616
2015-12-23,0.0
2015-12-24,0.0
2015-12-26,87.28999999999999
2015-12-27,988.804
2015-12-28,0.0
2015-12-29,14.352
2015-12-30,589.7189999999999
2015-12-31,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,32.34
2016-01-05,69.328
2016-01-06,1.938
2016-01-09,0.0
2016-01-10,0.0
2016-01-12,0.0
2016-01-13,70.008
2016-01-17,0.0
2016-01-19,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-30,0.0
2016-01-31,32.96
2016-02-03,12.144
2016-02-06,2.934
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-14,43.662
2016-02-15,53.239999999999995
2016-02-16,0.0
2016-02-18,0.0
2016-02-20,0.0
2016-02-22,0.0
2016-02-23,10.896
2016-02-25,0.0
2016-02-27,4.419
2016-02-28,0.0
2016-03-01,58.72
2016-03-02,0.0
2016-03-05,13.768
2016-03-06,0.0
2016-03-07,99.72
2016-03-08,8.568
2016-03-09,0.0
2016-03-10,1.112
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,671.94
2016-03-15,0.0
2016-03-17,0.0
2016-03-19,17.568
2016-03-20,2.512
2016-03-21,12.843
2016-03-22,14.112
2016-03-23,0.0
2016-03-24,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-02,9.156
2016-04-04,104.192
2016-04-05,168.222
2016-04-06,16.548000000000002
2016-04-07,0.0
2016-04-09,0.0
2016-04-10,12.832
2016-04-11,0.0
2016-04-13,17.43
2016-04-14,0.0
2016-04-16,64.61
2016-04-17,62.296
2016-04-18,44.007999999999996
2016-04-19,310.392
2016-04-20,0.0
2016-04-21,21.3
2016-04-22,0.0
2016-04-24,0.0
2016-04-25,13.944
2016-04-26,50.352
2016-04-27,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,12.176
2016-05-02,0.0
2016-05-03,125.912
2016-05-04,0.0
2016-05-07,0.0
2016-05-08,43.98
2016-05-09,48.81
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,14.592
2016-05-13,0.0
2016-05-14,23.484
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,33.28
2016-05-18,0.0
2016-05-20,6.408
2016-05-21,51.564
2016-05-22,0.0
2016-05-23,19.194
2016-05-24,7.656
2016-05-25,127.96
2016-05-26,0.0
2016-05-28,6.096
2016-05-29,167.76
2016-05-30,0.0
2016-05-31,3.564
2016-06-01,409.408
2016-06-04,0.0
2016-06-05,0.0
2016-06-07,25.832
2016-06-08,0.0
2016-06-09,215.82
2016-06-11,118.62799999999999
2016-06-12,0.0
2016-06-13,93.864
2016-06-14,0.0
2016-06-15,0.0
2016-06-18,87.441
2016-06-19,5.792
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,1217.568
2016-06-23,165.98
2016-06-25,89.73599999999999
2016-06-26,187.0
2016-06-28,0.0
2016-06-29,0.0
2016-07-02,2.892
2016-07-03,0.0
2016-07-04,22.848
2016-07-05,26.23
2016-07-06,0.0
2016-07-08,0.0
2016-07-09,404.07
2016-07-10,43.286
2016-07-11,328.394
2016-07-12,1.928
2016-07-13,53.376
2016-07-14,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,2.025
2016-07-20,2.88
2016-07-23,10.512
2016-07-24,225.15
2016-07-25,25.176
2016-07-26,32.28
2016-07-27,0.0
2016-07-30,10.92
2016-07-31,0.0
