order_date,Storage
2015-01-03,0.0
2015-01-04,272.736
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,80.56
2015-01-23,0.0
2015-01-26,489.92
2015-01-27,57.23
2015-01-28,0.0
2015-01-30,229.94
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,0.0
2015-02-07,64.96
2015-02-08,0.0
2015-02-11,64.96
2015-02-12,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,12.624
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,266.904
2015-03-02,0.0
2015-03-03,44.672
2015-03-04,354.9
2015-03-05,0.0
2015-03-07,447.84000000000003
2015-03-10,636.408
2015-03-11,0.0
2015-03-14,102.34
2015-03-15,142.776
2015-03-16,0.0
2015-03-17,0.0
2015-03-19,26.16
2015-03-21,16.272
2015-03-22,0.0
2015-03-23,330.4
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,145.14000000000001
2015-03-31,0.0
2015-04-01,66.96
2015-04-02,0.0
2015-04-04,232.55
2015-04-05,791.548
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-11,87.08
2015-04-12,0.0
2015-04-13,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,44.84
2015-04-21,828.84
2015-04-22,0.0
2015-04-23,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-28,702.274
2015-04-29,99.92
2015-04-30,826.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,45.248
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,83.25
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,55.5
2015-05-14,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,66.96
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,102.624
2015-05-27,359.32
2015-05-28,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,166.72
2015-06-02,356.94
2015-06-03,0.0
2015-06-04,0.0
2015-06-06,0.0
2015-06-07,0.0
