order_date,Appliances
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-18,64.864
2015-01-19,0.0
2015-01-20,247.716
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-14,81.96
2015-02-15,0.0
2015-02-16,7.96
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,176.772
2015-03-04,0.0
2015-03-05,0.0
2015-03-07,0.0
2015-03-10,0.0
2015-03-11,146.76
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,126.45
2015-03-18,0.0
2015-03-19,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,52.98
2015-04-01,0.0
2015-04-02,154.9
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-15,106.96
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-25,270.72
2015-04-26,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-02,26.136
2015-05-03,0.0
2015-05-04,57.68
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,35.91
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,33.28
2015-05-21,245.88
2015-05-22,0.0
2015-05-23,208.16
2015-05-24,0.0
2015-05-25,75.6
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-30,235.95
2015-05-31,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,15.56
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,114.9
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-20,471.9
2015-06-21,104.116
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-04,32.432
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,39.48
2015-07-15,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,0.0
2015-07-21,4.992
2015-07-22,0.0
2015-07-23,0.0
2015-07-25,0.0
2015-07-26,4.836
2015-07-27,0.0
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,62.92
2015-08-02,0.0
2015-08-03,2.6
2015-08-05,79.47
2015-08-06,0.0
2015-08-08,243.655
2015-08-09,0.0
2015-08-11,0.0
2015-08-12,211.248
2015-08-15,152.24
2015-08-16,0.0
2015-08-17,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,19.9
2015-09-03,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,251.41
2015-09-09,0.0
2015-09-10,81.92
2015-09-11,0.0
2015-09-12,166.84
2015-09-13,22.66
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-19,0.0
2015-09-20,74.9
2015-09-21,62.230000000000004
2015-09-22,0.0
2015-09-23,0.0
