order_date,Phones
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,1147.94
2015-01-07,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,124.2
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,699.93
2015-01-23,0.0
2015-01-26,343.33
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,180.96
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,306.56
2015-02-07,0.0
2015-02-08,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-01,5.94
2015-03-02,0.0
2015-03-03,9.99
2015-03-04,0.0
2015-03-05,0.0
2015-03-07,0.0
2015-03-10,0.0
2015-03-11,587.97
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,471.92
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,323.976
2015-03-22,0.0
2015-03-23,604.752
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,28.784
2015-03-28,302.376
2015-03-29,0.0
2015-03-30,251.944
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,1049.93
2015-04-04,0.0
2015-04-05,28.99
2015-04-06,0.0
2015-04-07,830.9200000000001
2015-04-08,0.0
2015-04-11,863.9359999999999
2015-04-13,71.928
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-25,302.376
2015-04-26,0.0
2015-04-29,19.98
2015-04-30,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-11,100.792
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,779.796
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,617.97
2015-05-22,180.93
2015-05-23,55.188
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,285.568
2015-05-27,1113.504
2015-05-28,57.408
2015-05-30,464.0
2015-05-31,773.7
2015-06-01,881.93
2015-06-02,239.97
2015-06-03,0.0
2015-06-04,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,139.8
2015-06-20,201.584
2015-06-22,82.782
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,263.96
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,575.92
2015-07-02,73.98
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-11,773.938
2015-07-12,255.936
2015-07-13,0.0
2015-07-14,75.75399999999999
2015-07-15,0.0
2015-07-18,0.0
2015-07-19,359.98
2015-07-20,0.0
2015-07-21,35.98
2015-07-22,0.0
2015-07-23,907.1279999999999
2015-07-25,0.0
2015-07-26,911.984
2015-07-27,0.0
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,399.96
2015-08-05,135.99
2015-08-06,0.0
2015-08-08,745.94
2015-08-11,0.0
2015-08-12,806.336
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-22,0.0
2015-08-23,143.64
2015-08-24,0.0
2015-08-25,1007.944
2015-08-26,0.0
2015-08-27,793.4300000000001
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,711.9780000000001
2015-09-08,143.976
2015-09-09,135.516
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,304.96000000000004
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-19,0.0
2015-09-21,486.368
2015-09-22,0.0
2015-09-23,83.984
2015-09-24,0.0
2015-09-25,0.0
