order_date,Chairs
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-07,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-13,545.94
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,1067.94
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-11,60.89
2015-02-12,129.568
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-27,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-07,966.9839999999999
2015-03-10,0.0
2015-03-11,0.0
2015-03-14,1139.92
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-21,218.376
2015-03-22,314.352
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,366.786
2015-03-26,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,127.302
2015-03-31,1125.488
2015-04-01,0.0
2015-04-02,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-18,317.058
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,562.744
2015-04-26,230.28
2015-04-28,0.0
2015-04-29,613.544
2015-04-30,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,127.869
2015-05-06,0.0
2015-05-07,872.32
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,256.784
2015-05-11,1212.96
2015-05-12,0.0
2015-05-13,279.456
2015-05-14,0.0
2015-05-16,232.88
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,107.772
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,585.068
2015-05-27,0.0
2015-05-28,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,755.904
2015-06-09,0.0
2015-06-10,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,797.944
2015-06-16,647.84
2015-06-17,0.0
2015-06-18,0.0
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,1023.9879999999999
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-27,0.0
2015-06-28,1228.465
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,478.48
2015-07-07,172.186
2015-07-08,63.882
2015-07-09,0.0
2015-07-11,854.94
2015-07-12,635.4939999999999
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-18,259.136
2015-07-19,0.0
2015-07-20,981.372
2015-07-22,717.72
2015-07-23,0.0
2015-07-25,0.0
2015-07-26,742.232
2015-07-27,0.0
2015-07-28,0.0
2015-07-30,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-06,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-19,0.0
2015-08-20,921.6120000000001
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,161.96
2015-09-09,785.88
2015-09-11,0.0
2015-09-13,340.116
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-19,887.103
2015-09-20,631.782
2015-09-21,0.0
2015-09-22,579.528
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,731.12
2015-09-27,603.92
