CustomerID,Recency,Frequency,Monetary
12346.0,165,2,169.36
12347.0,3,2,15854.66
12348.0,74,1,4105.44
12349.0,43,2,21969.62
12351.0,11,1,3429.81
12352.0,11,2,4094.4
12353.0,44,1,2977.92
12355.0,203,1,7609.27
12356.0,16,3,104666.77
12357.0,24,1,421200.09
12358.0,11,3,83080.37
12359.0,61,6,42033.2
12360.0,28,3,20824.85
12361.0,98,3,2633.3500000000004
12366.0,269,1,49429.12
12368.0,264,1,16292.6
12369.0,49,3,31183.010000000002
12370.0,260,3,3975.7400000000002
12371.0,45,3,16250.02
12373.0,260,2,6097.25
12374.0,57,2,45694.43
12376.0,25,2,13553.15
12377.0,17,2,32400.34
12378.0,198,1,13143.92
12379.0,58,2,7177.66
12380.0,101,4,78798.88
12385.0,15,1,16576.0
12386.0,2,1,8170.2
12387.0,51,1,1751.16
12388.0,81,2,16490.29
12389.0,38,3,26883.11
12391.0,100,5,23202.15
12392.0,227,1,3851.5500000000006
12393.0,18,2,11390.65
12395.0,7,4,43994.92
12396.0,310,1,8349.99
12399.0,21,3,20099.63
12400.0,50,1,1778.1499999999999
12402.0,28,5,8789.6
12403.0,157,1,36362.520000000004
12406.0,35,3,146279.64
12408.0,21,3,26988.5
12409.0,56,4,662195.56
12410.0,138,1,2214.52
12411.0,45,1,2075.5
12412.0,38,3,27010.53
12413.0,38,1,540.95
12414.0,99,1,2341.4399999999996
12415.0,11,4,2252429.66
12416.0,292,1,2430.7200000000003
12417.0,46,11,21442.09
12418.0,49,3,13398.76
12419.0,21,2,3164.59
12421.0,51,2,2023.68
12422.0,30,9,122893.51
12423.0,23,2,7325.76
12424.0,58,2,41211.65
12425.0,84,1,11554.810000000001
12426.0,298,1,4682.02
12427.0,7,1,2111.8
12429.0,1,5,122981.07
12431.0,9,11,98870.82
12433.0,2,5,187682.51
12434.0,17,1,2065.73
12435.0,32,4,711505.5
12437.0,31,20,115470.35
12439.0,318,2,8370.72
12440.0,98,2,8211.98
12441.0,2,1,1568.5500000000002
12443.0,368,1,3311.6699999999996
12445.0,56,1,1988.3600000000001
12449.0,74,1,63222.24
12450.0,35,3,5551.9
12451.0,99,3,70624.6
12454.0,31,3,4294922.88
12455.0,81,4,56533.31
12457.0,71,1,7259.68
12458.0,63,2,8287.93
12459.0,241,1,5316.38
12460.0,92,1,2595.85
12467.0,59,1,1694.9
12468.0,162,3,57515.46
12469.0,158,2,366899.49999999994
12470.0,325,1,1045.95
12471.0,10,44,314148.57
12472.0,5,13,149740.46
12474.0,14,11,53074.66
12475.0,45,1,3864.44
12476.0,33,7,83731.23
12477.0,35,3,97579.99
12480.0,35,3,114227.36
12481.0,1,5,204193.25
12482.0,212,27,3444428.68
12483.0,14,11,55538.700000000004
12484.0,119,5,39015.41
12485.0,165,1,8156.6
12486.0,67,1,10744.18
12487.0,366,1,32362.2
12490.0,14,10,82131.49
12492.0,39,1,4117.5
12494.0,1,3,4396.51
12495.0,276,1,2339.5
12496.0,256,2,183.53
12497.0,36,2,794227.04
12499.0,196,1,4573.84
12500.0,71,7,30524.33
12503.0,220,1,501760.0
12504.0,53,2,14273.999999999998
12505.0,44,1,6096.700000000001
12507.0,220,1,6344.549999999999
12510.0,95,5,37103.98
12511.0,64,1,30801.420000000002
12514.0,277,1,7185.04
12516.0,66,2,27255.12
12519.0,112,1,3216.92
12523.0,10,12,25110.68
12524.0,24,9,398759.63
12525.0,134,3,7329.57
12527.0,130,2,9468.0
12529.0,164,1,2915.26
12530.0,51,5,69769.87999999999
12531.0,322,1,16201.52
12533.0,263,2,12437.49
12537.0,44,1,6341.2
12538.0,14,1,4141.5
12539.0,86,3,61566.0
12540.0,14,15,176169.91
12542.0,120,2,7301.179999999999
12543.0,84,1,19987.15
12547.0,136,1,2119.3199999999997
12549.0,211,5,130600.80000000002
12553.0,21,2,5711.79
12554.0,84,1,3523.52
12557.0,7,4,1173484.76
12562.0,21,2,25478.920000000002
12563.0,44,1,2260.32
12567.0,3,7,35088.02
12568.0,280,1,507.5
12573.0,17,4,5722.030000000001
12575.0,93,2,5381.88
12576.0,28,3,7386.03
12577.0,17,5,10164.43
12578.0,21,2,90269.26
12580.0,212,1,5550.0
12582.0,58,2,13263.32
12583.0,9,13,141014.08000000002
12586.0,10,3,15401.47
12588.0,35,2,5442.5199999999995
12589.0,57,4,28503.61
12591.0,26,2,7773.5
