,order_date,sales
0,2015-01-03,0.0
1,2015-01-04,276.276
2,2015-01-05,0.0
3,2015-01-06,4331.74
4,2015-01-07,10.43
5,2015-01-09,31.2
6,2015-01-10,0.0
7,2015-01-11,0.0
8,2015-01-13,3434.187
9,2015-01-14,61.96
10,2015-01-15,149.95
11,2015-01-16,142.788
12,2015-01-18,64.864
13,2015-01-19,213.81
14,2015-01-20,2212.0899999999997
15,2015-01-23,0.0
16,2015-01-26,985.8900000000001
17,2015-01-27,390.23
18,2015-01-28,3.928
19,2015-01-30,229.94
20,2015-01-31,290.666
21,2015-02-01,468.9
22,2015-02-02,199.296
23,2015-02-03,97.112
24,2015-02-04,100.144
25,2015-02-06,315.512
26,2015-02-07,180.32
27,2015-02-08,0.0
28,2015-02-11,1695.52
29,2015-02-12,129.568
30,2015-02-14,560.55
31,2015-02-15,21.36
32,2015-02-16,9.04
33,2015-02-17,0.0
34,2015-02-18,12.624
35,2015-02-20,62.31
36,2015-02-21,8.85
37,2015-02-22,0.0
38,2015-02-23,4.428
39,2015-02-24,0.0
40,2015-02-27,0.0
41,2015-03-01,2103.2870000000003
42,2015-03-02,0.0
43,2015-03-03,1311.3159999999998
44,2015-03-04,354.9
45,2015-03-05,548.222
46,2015-03-07,1522.472
47,2015-03-10,636.408
48,2015-03-11,767.69
49,2015-03-14,1995.1059999999998
50,2015-03-15,193.18200000000002
51,2015-03-16,471.92
52,2015-03-17,3522.83
53,2015-03-18,27794.268
54,2015-03-19,553.946
55,2015-03-21,3857.518
56,2015-03-22,373.46099999999996
57,2015-03-23,935.1519999999999
58,2015-03-24,0.0
59,2015-03-25,412.266
60,2015-03-26,123.01999999999998
61,2015-03-28,1487.096
62,2015-03-29,890.841
63,2015-03-30,730.052
64,2015-03-31,1955.52
65,2015-04-01,90.288
66,2015-04-02,1204.8300000000002
67,2015-04-04,339.714
68,2015-04-05,5024.7880000000005
69,2015-04-06,1379.75
70,2015-04-07,830.9200000000001
71,2015-04-08,1887.582
72,2015-04-11,1897.9599999999998
73,2015-04-12,1840.043
74,2015-04-13,581.898
75,2015-04-15,106.96
76,2015-04-16,0.0
77,2015-04-18,833.0020000000001
78,2015-04-19,58.05
79,2015-04-20,1190.53
80,2015-04-21,845.36
81,2015-04-22,9.912
82,2015-04-23,572.734
83,2015-04-25,2060.136
84,2015-04-26,248.568
85,2015-04-28,2563.074
86,2015-04-29,751.384
87,2015-04-30,873.79
88,2015-05-02,506.12
89,2015-05-03,51.072
90,2015-05-04,104.47999999999999
91,2015-05-05,184.99699999999999
92,2015-05-06,140.736
93,2015-05-07,1082.71
94,2015-05-08,1799.97
95,2015-05-09,319.02
96,2015-05-10,2123.389
97,2015-05-11,1559.2179999999998
98,2015-05-12,700.056
99,2015-05-13,883.278
100,2015-05-14,0.0
101,2015-05-16,289.28
102,2015-05-17,91.68
103,2015-05-18,779.796
104,2015-05-19,91.62
105,2015-05-20,121.024
106,2015-05-21,4153.652
107,2015-05-22,180.93
108,2015-05-23,289.63
109,2015-05-24,0.0
110,2015-05-25,75.6
111,2015-05-26,1263.926
112,2015-05-27,2157.394
113,2015-05-28,221.96800000000002
114,2015-05-30,1871.333
115,2015-05-31,773.7
116,2015-06-01,4803.320000000001
117,2015-06-02,656.7180000000001
118,2015-06-03,515.88
119,2015-06-04,369.128
120,2015-06-06,1184.401
121,2015-06-07,281.397
122,2015-06-08,2501.264
123,2015-06-09,5178.799999999999
124,2015-06-10,0.0
125,2015-06-13,0.0
126,2015-06-14,212.94
127,2015-06-15,906.43
128,2015-06-16,687.392
129,2015-06-17,3332.346
130,2015-06-18,139.8
131,2015-06-20,1798.2296
132,2015-06-21,3929.7430000000004
133,2015-06-22,1975.498
134,2015-06-23,89.48
135,2015-06-24,0.0
136,2015-06-25,711.8
137,2015-06-27,616.14
138,2015-06-28,1262.7189999999998
139,2015-06-29,13.92
140,2015-06-30,337.456
141,2015-07-01,601.024
142,2015-07-02,73.98
143,2015-07-04,48.032000000000004
144,2015-07-05,1172.94
145,2015-07-06,1038.472
146,2015-07-07,172.186
147,2015-07-08,763.0740000000001
148,2015-07-09,199.961
149,2015-07-11,1647.1580000000001
150,2015-07-12,1882.348
151,2015-07-13,351.216
152,2015-07-14,201.086
153,2015-07-15,2.97
154,2015-07-18,273.04
155,2015-07-19,461.326
156,2015-07-20,2053.346
157,2015-07-21,1774.362
158,2015-07-22,1311.1840000000002
159,2015-07-23,2603.944
160,2015-07-25,8256.89
161,2015-07-26,4699.887999999999
162,2015-07-27,514.28
163,2015-07-28,0.0
164,2015-07-30,1367.84
165,2015-08-01,82.672
166,2015-08-02,886.28
167,2015-08-03,345.01
168,2015-08-04,2019.1740000000002
169,2015-08-05,2210.3239999999996
170,2015-08-06,262.89
171,2015-08-08,3414.273
172,2015-08-09,3558.8089999999997
173,2015-08-11,375.34
174,2015-08-12,1378.274
175,2015-08-15,246.14000000000001
176,2015-08-16,853.092
177,2015-08-17,357.91999999999996
178,2015-08-19,1139.146
179,2015-08-20,1818.6019999999999
180,2015-08-22,7.632
181,2015-08-23,200.00799999999998
182,2015-08-24,46.46
183,2015-08-25,1220.194
184,2015-08-26,326.77
185,2015-08-27,2019.0900000000001
186,2015-08-29,679.2345
187,2015-08-30,121.24
188,2015-08-31,92.52
189,2015-09-01,384.392
190,2015-09-02,3089.51
191,2015-09-03,7.68
192,2015-09-05,264.32
193,2015-09-06,0.0
194,2015-09-07,2533.393
195,2015-09-08,13624.152
196,2015-09-09,3611.94
197,2015-09-10,1578.6
198,2015-09-11,0.0
199,2015-09-12,4853.732
200,2015-09-13,1185.566
201,2015-09-14,4700.822
202,2015-09-15,0.0
203,2015-09-16,33.552
204,2015-09-17,365.17100000000005
205,2015-09-19,9325.806999999999
206,2015-09-20,5053.512
207,2015-09-21,2355.1380000000004
208,2015-09-22,1125.1779999999999
209,2015-09-23,10591.297
210,2015-09-24,211.96
211,2015-09-25,303.2568
212,2015-09-26,1253.27
213,2015-09-27,603.92
214,2015-09-28,46.26
215,2015-09-29,7588.738
216,2015-09-30,907.8000000000001
217,2015-10-01,0.0
218,2015-10-02,571.2959999999999
219,2015-10-03,729.9069999999999
220,2015-10-04,685.058
221,2015-10-05,191.9
222,2015-10-06,494.71
223,2015-10-07,107.44
224,2015-10-08,23.472
225,2015-10-09,15.992
226,2015-10-10,1731.384
227,2015-10-11,1092.392
228,2015-10-12,43.629999999999995
229,2015-10-13,2164.2619999999997
230,2015-10-14,4184.156
231,2015-10-15,183.372
232,2015-10-16,194.322
233,2015-10-17,130.756
234,2015-10-18,3010.396
235,2015-10-19,462.18399999999997
236,2015-10-20,1472.872
237,2015-10-21,1353.762
238,2015-10-22,0.0
239,2015-10-24,34.272
240,2015-10-25,103.882
241,2015-10-26,383.96
242,2015-10-27,0.0
243,2015-10-28,1510.5819999999999
244,2015-10-29,2737.9320000000002
245,2015-10-31,5181.716
246,2015-11-01,4242.284
247,2015-11-02,2002.17
248,2015-11-03,2219.747
249,2015-11-04,6627.651999999999
250,2015-11-05,1400.9560000000001
251,2015-11-07,1192.002
252,2015-11-08,333.576
253,2015-11-09,1360.074
254,2015-11-10,1774.816
255,2015-11-11,7292.6179999999995
256,2015-11-12,842.8571999999999
257,2015-11-14,970.2339999999999
258,2015-11-15,1136.9360000000001
259,2015-11-16,1240.6785
260,2015-11-17,10574.196
261,2015-11-18,3142.6710000000003
262,2015-11-19,7021.3060000000005
263,2015-11-20,846.9000000000001
264,2015-11-21,593.89
265,2015-11-22,1011.928
266,2015-11-23,1225.112
267,2015-11-24,4737.662
268,2015-11-25,4223.423
269,2015-11-26,1469.5480000000002
270,2015-11-27,0.0
271,2015-11-28,1664.06
272,2015-11-29,575.92
273,2015-11-30,156.874
274,2015-12-01,5419.474000000001
275,2015-12-02,1418.5839999999998
276,2015-12-03,479.96
277,2015-12-04,129.98
278,2015-12-05,1295.7020000000002
279,2015-12-06,1894.018
280,2015-12-07,269.36
281,2015-12-08,880.3439999999999
282,2015-12-09,1438.164
283,2015-12-10,444.69599999999997
284,2015-12-12,4849.8425
285,2015-12-13,20.524
286,2015-12-14,7636.138
287,2015-12-15,1249.7620000000002
288,2015-12-16,3782.635
289,2015-12-17,5.484
290,2015-12-19,3384.038
291,2015-12-20,6377.165999999999
292,2015-12-21,1916.16
293,2015-12-22,663.1759999999999
294,2015-12-23,890.052
295,2015-12-24,1886.284
296,2015-12-26,1465.334
297,2015-12-27,2694.9040000000005
298,2015-12-28,2441.4300000000003
299,2015-12-29,1544.234
300,2015-12-30,2149.8269999999998
301,2015-12-31,4881.342000000001
302,2016-01-02,1878.536
303,2016-01-03,1750.7975999999999
304,2016-01-04,32.34
305,2016-01-05,218.272
306,2016-01-06,1.938
307,2016-01-09,163.44
308,2016-01-10,1018.104
309,2016-01-12,737.128
310,2016-01-13,70.008
311,2016-01-17,88.96
312,2016-01-19,301.742
313,2016-01-23,0.0
314,2016-01-24,0.0
315,2016-01-26,0.0
316,2016-01-27,3573.252
317,2016-01-28,4297.644
318,2016-01-30,1919.976
319,2016-01-31,32.96
320,2016-02-03,252.996
321,2016-02-06,2391.684
322,2016-02-07,0.0
323,2016-02-08,107.982
324,2016-02-09,704.672
325,2016-02-10,77.24
326,2016-02-14,1065.61
327,2016-02-15,1569.5800000000002
328,2016-02-16,0.0
329,2016-02-18,35.544
330,2016-02-20,29.99
331,2016-02-21,2541.98
332,2016-02-22,0.0
333,2016-02-23,37.775999999999996
334,2016-02-25,0.0
335,2016-02-27,1143.239
336,2016-02-28,551.264
337,2016-03-01,1586.8464
338,2016-03-02,787.53
339,2016-03-05,1894.5430000000001
340,2016-03-06,1119.984
341,2016-03-07,807.54
342,2016-03-08,2152.388
343,2016-03-09,473.4
344,2016-03-10,90.93199999999999
345,2016-03-12,0.0
346,2016-03-13,1057.096
347,2016-03-14,671.94
348,2016-03-15,16.776
349,2016-03-16,6659.549999999999
350,2016-03-17,48.84
351,2016-03-19,4902.074
352,2016-03-20,31.816
353,2016-03-21,974.923
354,2016-03-22,2264.384
