order_date,Accessories,Appliances,Art,Binders,Bookcases,Chairs,Copiers,Envelopes,Fasteners,Furnishings,Labels,Machines,Paper,Phones,Storage,Supplies,Tables,year,month,day,day_of_week
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.448,0.0,0.0,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,11.784,0.0,0.0,0.0,272.736,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,19.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,5,0
2015-01-06,0.0,0.0,18.259999999999998,609.98,0.0,2573.82,0.0,0.0,31.12,0.0,0.0,0.0,25.98,1147.94,0.0,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0,10.43,0.0,0.0,0.0,0.0,0.0,76.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,7,2
2015-01-09,31.2,0.0,9.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.94,2.89,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,11,6
2015-01-13,646.74,0.0,19.9,9.078,333.999,545.94,0.0,62.3,0.0,0.0,0.0,0.0,37.408,0.0,1898.4299999999998,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.0,0.0,61.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,14,2
2015-01-15,149.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0,18.588,0.0,0.0,0.0,0.0,0.0,127.104,30.072,0.0,0.0,124.2,0.0,0.0,0.0,2015,1,16,4
2015-01-18,0.0,64.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0,32.34,181.47,0.0,0.0,108.72,0.0,0.0,0.0,0.0,56.064,0.0,0.0,0.0,0.0,2015,1,19,0
2015-01-20,0.0,247.716,73.51,115.944,0.0,1067.94,0.0,23.34,0.0,345.57,0.0,0.0,19.36,699.93,80.56,0.0,0.0,2015,1,20,1
2015-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08,0.0,0.0,0.0,0.0,2015,1,23,4
2015-01-26,0.0,0.0,0.0,10.68,141.96,0.0,0.0,0.0,0.0,75.24,0.0,0.0,36.120000000000005,343.33,489.92,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,36.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.23,0.0,333.0,2015,1,27,1
2015-01-28,0.0,0.0,0.0,3.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,28,2
2015-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56,0.0,229.94,0.0,0.0,2015,1,30,4
2015-01-31,0.0,0.0,0.0,0.0,290.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,31,5
2015-02-01,468.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2,1,6
2015-02-02,0.0,0.0,0.0,18.336,0.0,0.0,0.0,0.0,12.35,0.0,0.0,0.0,0.0,180.96,0.0,0.0,0.0,2015,2,2,0
2015-02-03,0.0,0.0,0.0,97.11200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2,3,1
2015-02-04,0.0,0.0,0.0,100.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24,0.0,0.0,0.0,0.0,2015,2,4,2
2015-02-06,0.0,0.0,0.0,8.952,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,306.56,0.0,0.0,0.0,2015,2,6,4
2015-02-07,115.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.96,0.0,0.0,2015,2,7,5
2015-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2,8,6
